"id_origin","hour","dow","viajes"
"0827903",22,1,15504.318
"0827903",22,2,16278.766
"0827903",22,3,16398.956
"0827903",22,4,16826.095
"0827903",22,5,17520.3
"0827903",22,6,17427.945
"0827903",22,7,15233.915
"0827903",23,1,9817.956
"0827903",23,2,10163.566
"0827903",23,3,10818.245
"0827903",23,4,10481.728
"0827903",23,5,12441.113
"0827903",23,6,13347.43
"0827903",23,7,10101.001
"0827904",0,1,6758.454
"0827904",0,2,6194.167
"0827904",0,3,6207.443
"0827904",0,4,6287.681
"0827904",0,5,6617.657
"0827904",0,6,8157.747
"0827904",0,7,10077.484
"0827904",1,1,3794.567
"0827904",1,2,3464.501
"0827904",1,3,3385.251
"0827904",1,4,3343.867
"0827904",1,5,3467.955
"0827904",1,6,5139.342
"0827904",1,7,5867.503
"0827904",2,1,3229.178
"0827904",2,2,2815.419
"0827904",2,3,3090.578
"0827904",2,4,3158.187
"0827904",2,5,2525.204
"0827904",2,6,3662.081
"0827904",2,7,4275.996
"0827904",3,1,3046.917
"0827904",3,2,2450.853
"0827904",3,3,2937.592
"0827904",3,4,2988.325
"0827904",3,5,2815.826
"0827904",3,6,3604.423
"0827904",3,7,3334.791
"0827904",4,1,3510.133
"0827904",4,2,3839.34
"0827904",4,3,3664.981
"0827904",4,4,3812.686
"0827904",4,5,3928.434
"0827904",4,6,3694.697
"0827904",4,7,3777.223
"0827904",5,1,8052.404
"0827904",5,2,9248.057
"0827904",5,3,9392.323
"0827904",5,4,9360.873
"0827904",5,5,9519.203
"0827904",5,6,5887.069
"0827904",5,7,4722.7
"0827904",6,1,14367.353
"0827904",6,2,17007.622
"0827904",6,3,17212.925
"0827904",6,4,16592.742
"0827904",6,5,17141.785
"0827904",6,6,8128.628
"0827904",6,7,7139.117
"0827904",7,1,23613.118
"0827904",7,2,29808.165
"0827904",7,3,28937.566
"0827904",7,4,29318.972
"0827904",7,5,28620.199
"0827904",7,6,11087.391
"0827904",7,7,7990.823
"0827904",8,1,22793.506
"0827904",8,2,27644.366
"0827904",8,3,28028.765
"0827904",8,4,27117.911
"0827904",8,5,27260.626
"0827904",8,6,14802.843
"0827904",8,7,10543.542
"0827904",9,1,18936.755
"0827904",9,2,21597.683
"0827904",9,3,21560.143
"0827904",9,4,20746.155
"0827904",9,5,21477.542
"0827904",9,6,19302.397
"0827904",9,7,13828.31
"0827904",10,1,17267.311
"0827904",10,2,17927.154
"0827904",10,3,17542.505
"0827904",10,4,17410.817
"0827904",10,5,18649.177
"0827904",10,6,21440.44
"0827904",10,7,17800.545
"0827904",11,1,17283.309
"0827904",11,2,19520.776
"0827904",11,3,17176.422
"0827904",11,4,17429.671
"0827904",11,5,18217.258
"0827904",11,6,21980.579
"0827904",11,7,19419.591
"0827904",12,1,18353.713
"0827904",12,2,17920.883
"0827904",12,3,16937.983
"0827904",12,4,17241.654
"0827904",12,5,18099.797
"0827904",12,6,22229.478
"0827904",12,7,19871.227
"0827904",13,1,19289.343
"0827904",13,2,20035.407
"0827904",13,3,20299.036
"0827904",13,4,19955.254
"0827904",13,5,20753.151
"0827904",13,6,21076.486
"0827904",13,7,19755.618
"0827904",14,1,19767.907
"0827904",14,2,21499.151
"0827904",14,3,20691.125
"0827904",14,4,21639.249
"0827904",14,5,22449.301
"0827904",14,6,18250.336
"0827904",14,7,16333.005
"0827904",15,1,18645.337
"0827904",15,2,20125.483
"0827904",15,3,19919.72
"0827904",15,4,20108.913
"0827904",15,5,20991.731
"0827904",15,6,15605.262
"0827904",15,7,13743.18
"0827904",16,1,20233.896
"0827904",16,2,20851.865
"0827904",16,3,21226.89
"0827904",16,4,21654.546
"0827904",16,5,21767.712
"0827904",16,6,17286.643
"0827904",16,7,14884.535
"0827904",17,1,20569.452
"0827904",17,2,22763.451
"0827904",17,3,22015.161
"0827904",17,4,22540.846
"0827904",17,5,22123.788
"0827904",17,6,19901.011
"0827904",17,7,16570.073
"0827904",18,1,21618.904
"0827904",18,2,22523.383
"0827904",18,3,22618.983
"0827904",18,4,23633.129
"0827904",18,5,22442.332
"0827904",18,6,21862.843
"0827904",18,7,16682.12
"0827904",19,1,20207.565
"0827904",19,2,21923.92
"0827904",19,3,21997.063
"0827904",19,4,22301.516
"0827904",19,5,21418.834
"0827904",19,6,21283.698
"0827904",19,7,16344.524
"0827904",20,1,18790.516
"0827904",20,2,20454.418
"0827904",20,3,19926.582
"0827904",20,4,19977.83
"0827904",20,5,20202.28
"0827904",20,6,21108.623
"0827904",20,7,15284.583
"0827904",21,1,14985.743
"0827904",21,2,15649.824
"0827904",21,3,16049.483
"0827904",21,4,15986.027
"0827904",21,5,16380.477
"0827904",21,6,17695.783
"0827904",21,7,13670.515
"0827904",22,1,11987.844
"0827904",22,2,11962.522
"0827904",22,3,11943.964
"0827904",22,4,12303.242
"0827904",22,5,13063.225
"0827904",22,6,13225.218
"0827904",22,7,11598.536
"0827904",23,1,8334.29
"0827904",23,2,8449.266
"0827904",23,3,8208.216
"0827904",23,4,8680.201
"0827904",23,5,10159.064
"0827904",23,6,10430.655
"0827904",23,7,8035.564
"0827905",0,1,11250.496
"0827905",0,2,10931.613
"0827905",0,3,11359.436
"0827905",0,4,10618.519
"0827905",0,5,11427.871
"0827905",0,6,13909.87
"0827905",0,7,14975.103
"0827905",1,1,6366.441
"0827905",1,2,5965.762
"0827905",1,3,5761.243
"0827905",1,4,5519.415
"0827905",1,5,6040.83
"0827905",1,6,7890.856
"0827905",1,7,8939.115
"0827905",2,1,4414.741
"0827905",2,2,4307.937
"0827905",2,3,4297.333
"0827905",2,4,4751.512
"0827905",2,5,4457.991
"0827905",2,6,5296.171
"0827905",2,7,6578.478
"0827905",3,1,4154.75
"0827905",3,2,4317.606
"0827905",3,3,3954.227
"0827905",3,4,3658.363
"0827905",3,5,3626.016
"0827905",3,6,4345.781
"0827905",3,7,4905.568
"0827905",4,1,4383.634
"0827905",4,2,4909.454
"0827905",4,3,4909.857
"0827905",4,4,4595.776
"0827905",4,5,4584.401
"0827905",4,6,4530.582
"0827905",4,7,4372.402
"0827905",5,1,9974.871
"0827905",5,2,10902.2
"0827905",5,3,10990.683
"0827905",5,4,11057.934
"0827905",5,5,10992.043
"0827905",5,6,6588.403
"0827905",5,7,5480.031
"0827905",6,1,18287.129
"0827905",6,2,22201.767
"0827905",6,3,21649.747
"0827905",6,4,21965.12
"0827905",6,5,21458.886
"0827905",6,6,10856.087
"0827905",6,7,9509.811
"0827905",7,1,32648.135
"0827905",7,2,39067.945
"0827905",7,3,38222.713
"0827905",7,4,38762.257
"0827905",7,5,37777.199
"0827905",7,6,15274.992
"0827905",7,7,12003.918
"0827905",8,1,31815.825
"0827905",8,2,38489.766
"0827905",8,3,38281.425
"0827905",8,4,37552.113
"0827905",8,5,36460.988
"0827905",8,6,21106.86
"0827905",8,7,15079.565
"0827905",9,1,29963.156
"0827905",9,2,33246.531
"0827905",9,3,33869.964
"0827905",9,4,33076.923
"0827905",9,5,32016.358
"0827905",9,6,27233.247
"0827905",9,7,20334.914
"0827905",10,1,26988.332
"0827905",10,2,28353.87
"0827905",10,3,28301.672
